PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40083936,The TMBIM1-YBX1 axis orchestrates MDSC recruitment and immunosuppressive microenvironment in pancreatic cancer.,2025-01-01,Xuhui Tong; Mingming Xiao; Jing Yang; Jin Xu; Xianjun Yu; Si Shi,shanghai medical co,
40083935,TFEB promotes Ginkgetin-induced ferroptosis via TRIM25 mediated GPX4 lysosomal degradation in EGFR wide-type lung adenocarcinoma.,2025-01-01,Hao-Jie Wang; Li-Li Ding,shanghai key laboratory of co,
40083931,Ironomycin induces mantle cell lymphoma cell death by targeting iron metabolism addiction.,2025-01-01,Johanna Chiche; Jean-Ehrland Ricci,e ligue co,
40083921,A p-n heterojunction sonosensitizer for improved sono-immunotherapy via induction of multimodal cell death mechanisms.,2025-01-01,Sijia Wu; Qian Wang; Jun Du; Qingxuan Meng; Yuhao Li; Yuqing Miao,shanghai co,
40083919,NSUN2-mediated m,2025-01-01,Jie Hao; Ming Gao,tianjin key laboratory of general surgery in co,
40083918,Enhanced therapeutic efficacy of anti-PD-1 blockade by targeting LAMP2A inhibits lysosomal degradation of STING and TBK1.,2025-01-01,Jiaqing Xiao,institute of heilongjiang province center for disease co,
40083881,Detection of Estrogen Receptor Status in Breast Cancer Cytology Samples by an Optical Nanosensor.,2025-01-01,Pooja V Gaikwad; Nazifa Rahman; Pratyusha Ghosh; Ryan M Williams,the city co,
40083872,Tumor gene expression signatures associated with outcome in large B-cell lymphoma treated with CD19-directed CAR T-cell therapy (axicabtagene ciloleucel).,2025-01-01,Yuan Tian; Justin Budka; Christina To; Gayatri Tiwari; Daqin Mao; Davide Bedognetti; Rhine R Shen; Jorge Andrade; Simone Filosto,a gilead company,
40083871,Deep cervical stromal invasion predicts poor prognosis in patients with stage II endometrioid endometrial cancer: a two-centered retrospective study.,2025-01-01,Huaying Wang; Yulan Ren,shanghai medical co,
40083710,Harnessing Macrophages in Cancer Therapy: from Immune Modulators to Therapeutic Targets.,2025-01-01,Huabing Tan,tongji medical co,
40083703,Regulated Cell Death in Lenvatinib Resistance of Hepatocellular Carcinoma: from Molecular Mechanisms to Therapeutic Strategies.,2025-01-01,Ronggao Chen; Yao Jiang; Qiaonan Shan; Xiao Xu; Shusen Zheng,hangzhou medical co; nhc key laboratory of co,
40083648,Albumin-conjugation enables improved tumor targeting of aptamers via SPECT imaging.,2025-03-11,Shaowen Yang; Chengwen Zheng; Sixuan Cheng; Li Wen; Xiaoli Lan; Dawei Jiang,tongji medical co,
40083540,Beyond Skin Deep: The Systemic Impact of Topical Corticosteroids in Dermatology.,2025-01-01,Douglas DiRuggiero,diruggiero is with the skin cancer and co,
40083112,Patterns of Care and Outcomes Among Women With Locally Advanced Cervical Cancer Treated With Curative Intent at a Tertiary Center in South Africa.,2025-03-01,Jessica George,donald bren school of information and co,
40083111,"High spatial resolution dosimetry for radiation oncology with ""MagicPlates,"" a new 976-pixel monolithic silicon detector.",2025-03-13,Saree Alnaghy,nelune co,
40083024,Intratumoral and peritumoral CT radiomics in predicting anaplastic lymphoma kinase mutations and survival in patients with lung adenocarcinoma: a multicenter study.,2025-03-13,Weiyue Chen; Guihan Lin; Ye Feng; Yang Jing; Chunli Kong; Yumin Hu; Minjiang Chen; Shuiwei Xia; Chenying Lu; Jianfei Tu; Jiansong Ji,clinical co; huiying medical technology co.,
40083014,Epigenetic regulatory protein chromobox family regulates multiple signalling pathways and mechanisms in cancer.,2025-03-13,Weiyu Su; Weiwen Wang; Guanghui Zhang; Lianhe Yang,medical co,
40082994,Postoperative radiotherapy improves disease-free survival of EGFR wild-type pN2 non-squamous-cell non-small-cell lung cancer (Nsq-NSCLC) patients after complete resection: a propensity score matching analysis.,2025-03-13,Yunsong Liu; Yu Men; Xu Yang; Shuang Sun; Yongxing Bao; Zeliang Ma; Yirui Zhai; Jianyang Wang; Lei Deng; Wenqing Wang; Nan Bi; Luhua Wang; Zhouguang Hui,chinese academy of medical sciences and peking union medical co,
40082986,N6-methyladenosine RNA modified BAIAP2L2 facilitates extracellular vesicles-mediated chemoresistance transmission in gastric cancer.,2025-03-13,Yunfei Zhi; Jiang Yu; Liang Zhao,"peking union medical co; Department of General Surgery, Nanfang Hospital, Southern Medical University, Guangzhou, China. balbcyujiang@163.com.; Department of Pathology, Nanfang Hospital, Southern Medical University, Guangzhou, China. liangsmu@foxmail.com.",
40082982,A real-world study of the efficacy of second-line treatment of unresectable hepatocellular carcinoma with esophagogastric varices after progression on first-line lenvatinib combined with PD-1 inhibitor.,2025-03-13,Saifeng Li; Qin Wen; Wenwu Huang; Long Feng; Fengming Yi,"Department of Oncology, Second Affiliated Hospital of Nanchang University, Minde Road 1, Nanchang, 330006, P. R. China. longfengefy@163.com.; Department of Oncology, Second Affiliated Hospital of Nanchang University, Minde Road 1, Nanchang, 330006, P. R. China. ivandoctor@163.com.; jiangxi medical co",
40082968,"ADT-1004: a first-in-class, oral pan-RAS inhibitor with robust antitumor activity in preclinical models of pancreatic ductal adenocarcinoma.",2025-03-13,Dhana Sekhar Reddy Bandi; Ganji Purnachandra Nagaraju; Sujith Sarvesh; Julienne L Carstens; Adam B Keeton; Xi Chen; Jacob Valiyaveettil; Kristy L Berry; Mehmet Akce; Michael R Boyd; Yulia Y Maxuitenko; Gary A Piazza; Bassel F El-Rayes,"harrison co; ADT Pharmaceuticals, LLC, Orange Beach, AL, 31691, USA.; neal co",
40082966,"Amino acid metabolism in glioblastoma pathogenesis, immune evasion, and treatment resistance.",2025-03-13,Sathvik Belagodu Sridhar; Tahreen Taj; Farzad Taghizadeh-Hesary,"rak co; ENT and Head and Neck Research Center and Department, The Five Senses Health Institute, School of Medicine, Iran University of Medical Sciences, Tehran, Iran. Farzadth89@gmail.com.; yenepoya pharmacy co",
40082963,Anticancer efficacy of Spiruchostatin A: current insights into histone deacetylase inhibition and oncologic applications.,2025-03-14,Javad Sharifi-Rad; Daniela Calina,"Department of Clinical Pharmacy, University of Medicine and Pharmacy of Craiova, 200349, Craiova, Romania. calinadaniela@gmail.com.; Centro de Estudios Tecnológicos y Universitarios del Golfo, Veracruz, Mexico. javad.sharifirad@gmail.com.",
40082925,Radiation-induced lung injury: from mechanism to prognosis and drug therapy.,2025-03-13,Duo Xu; Lingyan Xiao; Bo Liu; Xianglin Yuan,tongji medical co,
40082918,Prognostic factors influencing overall survival in stage IV EGFR-mutant NSCLC patients treated with EGFR-TKIs.,2025-03-13,Linwu Kuang; Yuchen Zhang; Hao Wang; Peng Wang; Yangkai Li,tongji medical co,
40082897,Efficacy and safety of induction immunochemotherapy followed by radiotherapy for patients with unresectable locally advanced non-small cell lung cancer: A retrospective study.,2025-03-13,Qiuzi Zhong,"Department of Radiation Oncology, Beijing Hospital, National Center of Gerontology, Institute of Geriatric Medicine, Chinese Academy of Medical Sciences, Beijing, P. R. China. drzhongqiuzi@163.com.",
40082896,SERPINI1 serves as a biomarker promoting cell proliferation and invasion in hepatocellular carcinoma.,2025-03-13,Yvying Lan; Meng Zhao; Yueguo Li,"Department of Laboratory, Key Laboratory of Cancer Prevention and Therapy, Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin's Clinical Research Center for Cancer, Tianjin Medical University, Ministry of Education, Huanhuxi Road, Hexi District, Tianjin, 300060, PR China. zhaomengtj@yeah.net.; Department of Laboratory, Key Laboratory of Cancer Prevention and Therapy, Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin's Clinical Research Center for Cancer, Tianjin Medical University, Ministry of Education, Huanhuxi Road, Hexi District, Tianjin, 300060, PR China. kesaqitj@126.com.; clinical medical co",
40082876,Single-cell transcriptomic analyses reveal heterogeneity and key subsets associated with survival and response to PD-1 blockade in cervical squamous cell carcinoma.,2025-03-13,Xia Li; Huirong Shi; Mei Ji; Qitai Zhao,"Department of Gynecology and Obstetrics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan Province, 450052, China. jimeizdyfy@126.com.; Department of Radiation Oncology, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan Province, 450052, China. lixia86519@126.com.; Biotherapy Center and Cancer Center, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, 450052, China. zhaoqitaizzu@163.com.; Department of Gynecology and Obstetrics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan Province, 450052, China. shihuirong56@163.com.",
40082871,Risk factors of immune-related endocrine toxicities in non-small cell lung cancer patients treated with pembrolizumab and its impact on patient outcomes: a multicenter retrospective study.,2025-03-13,Yuping Li,the first affiliated hospital wenzhou medical co,
40082866,Preliminary cytotoxicity assessment of Jaftex vs. chlorhexidine mouthwashes on human gingival fibroblasts and oral squamous cell carcinoma.,2025-03-13,Hamed Saberikia,student research co,
40082850,Effect of Helicobacter pylori infection on survival outcomes of patients undergoing radical gastrectomy after neoadjuvant chemotherapy: a multicenter study in China.,2025-03-13,Chang-Ming Huang; Long-Long Cao; Jian-Wei Xie,"Department of Gastric Surgery, Fujian Medical University Union Hospital, No. 29 Xinquan Rd, Fuzhou, 350001, Fujian Province, China. xjwhw2019@163.com.; Department of Gastric Surgery, Fujian Medical University Union Hospital, No. 29 Xinquan Rd, Fuzhou, 350001, Fujian Province, China. hcmlr2002@163.com.; Department of Gastric Surgery, Fujian Medical University Union Hospital, No. 29 Xinquan Rd, Fuzhou, 350001, Fujian Province, China. 1291821982@qq.com.",
40082847,"Implementation and evaluation of a multi-professional care pathway and network for the promotion of needs-oriented, resident-oriented exercise therapy for oncological patients (MOVE-ONKO): protocol of a mixed-methods cohort study.",2025-03-13,Saskia Blütgen; Anna Zinkevich; Lena Ansmann,faculty of medicine and university hospital co,
40082822,Determinants of oral cavity cancer recurrence in Pakistan: findings from a cross-sectional study using an institutional cancer registry.,2025-03-13,Uzma Shamsi; Hamzah Jehanzeb,medical co; department of co,
40082821,Clinical outcomes of particle beam radiation therapy for patients with newly-diagnosed major salivary gland tumors.,2025-03-13,Jiade Jay Lu; Lin Kong,"Department of Radiation Oncology, Shanghai Proton and Heavy Ion Center, Fudan University Cancer Hospital, 4365 Kangxin Road, Pudong, Shanghai, 201321, China. linkong1152@163.com.; Department of Radiation Oncology, Proton and Heavy Ion Center, Heyou International Hospital, Foshan, 523000, China. jiadelu@yahoo.com.",
40082749,Clinical value of systemic immunoinflammatory index in predicting recurrence and metastasis in patients with primary liver cancer.,2025-03-13,Qiufeng He,"Department of Hepatology, Public Health Clinical Center of Chengdu, No. 377 Jingming Road, Jinjiang District, Chengdu, 610066, China. heqiufeng1028@21cn.com.",
40082695,A B7H3-targeting antibody-drug conjugate in advanced solid tumors: a phase 1/1b trial.,2025-03-13,Seth Rosen; Kunyu Yang; Steve Chin; Xian Zhang; Wei Lian; Jiaqiang Cai; Tongtong Xue,"union hospital tongji medical co; hematology oncology associates of the treasure co; MediLink Therapeutics (Suzhou) Co., Ltd., Suzhou, China. tony@medilinkthera.com.; MediLink Therapeutics (Suzhou) Co., Ltd., Suzhou, China.",
40082691,Zein-sodium caseinate-diosmin nanoparticles as a promising anti-cancer agent with targeted efficacy against A2780 cell line.,2025-03-13,Alireza Motavalizadehkakhky; Masoud Homayouni Tabrizi,"Department of Chemistry, Neyshabur Branch, Islamic Azad University, Neyshabur, Iran. amotavalizadeh@yahoo.com.; Department of Biology, Mashhad Branch, Islamic Azad University, Mashhad, Iran. mhomayouni6@gmail.com.",
40082669,Insight into the inhibitory activity of mangiferin and Silybin against HER2 and EGFR using theoretical and experimental approaches.,2025-03-13,Jesús Eduardo Alvarado-Lozano; Jorge Arturo Hernández-Valencia; Rodolfo Daniel Ávila-Avilés; Martiniano Bello,"centro co; Laboratorio de Diseño y Desarrollo de Nuevos Fármacos e Innovación Biotecnológica, Sección de Estudios de Posgrado e Investigación, Escuela Superior de Medicina, Instituto Politécnico Nacional, Plan de San Luis y Salvador Diaz Mirón s/n, Casco de Santo Tomás, Miguel Hidalgo, Mexico City, 11340, México. bellomartini@gmail.com.; Transdisciplinary Research for Drug Discovery, Sociedad Mexicana de Epigenética y Medicina Regenerativa A. C. (SMEYMER), Mexico City, México.; Laboratorio de Diseño y Desarrollo de Nuevos Fármacos e Innovación Biotecnológica, Sección de Estudios de Posgrado e Investigación, Escuela Superior de Medicina, Instituto Politécnico Nacional, Plan de San Luis y Salvador Diaz Mirón s/n, Casco de Santo Tomás, Miguel Hidalgo, Mexico City, 11340, México.",
40082664,Multi-omics analysis to uncover the molecular basis of tumor budding in head and neck squamous cell carcinoma.,2025-03-13,Yuxiang Zhou; Stephan Eckert; Katja Steiger; Bernhard Kuster; Melanie Boxberg,german cancer co,
40082607,Identification of candidate biomarkers correlated with the pathogenesis of breast cancer patients.,2025-03-13,Shiqun Yu; Chengman Wang; Ting Luo; Fanfan Zeng; Yu Zhang; Xin Wang,"infection co; yunfu center for disease co; Jiangxi Provincial Key Laboratory of Cell Precision Therapy, School of Basic Medical Sciences , Jiujiang University, Jiujiang, 332005, Jiangxi, China. wangxin2813@163.com.; jiangxi medical co",
40082588,Preclinical evaluation of a novel antibody-drug conjugate OBI-992 for Cancer therapy.,2025-03-13,Ting-Yu Chang; Chun-Jung Lin; Shih-Ni Wen; Yi-Chen Wu; Cheng-Yen Wei; Jye-Yu Huang; Yu-Hsuan Tsao; Yu-Jung Chen; Wei-Chien Tang; Yuen-Chin Wu; Wei-Han Lee; Teng-Yi Huang; Tzer-Min Kuo; Wan-Fen Li; Ming-Tain Lai,"OBI Pharma, Inc., 6F, No. 508, Section 7 Zhongxiao East Road, Nangang District, Taipei, Taiwan.; OBI Pharma, Inc., 6F, No. 508, Section 7 Zhongxiao East Road, Nangang District, Taipei, Taiwan. mingtainlai@obipharma.com.",
40082544,POD24-Based prognostic signature enables personalized risk stratification in mantle cell lymphoma.,2025-03-13,Dehui Zhou; Hui Zhou,"peking union medical co; Department of Lymphoma & Hematology, the Affiliated Tumor Hospital of Xiangya Medical School, Central South University, Changsha, Hunan, China. zhouhui9403@126.com.",
40082538,Targeting FOXP1 phase separation in small cell lung cancer mechanisms of chemotherapy resistance.,2025-03-13,Yu Wang; Linlang Guo,"Department of Pathology, Zhujiang Hospital, Southern Medical University, Guangzhou, China. linlangg@yahoo.com.; Department of Pathology, Zhujiang Hospital, Southern Medical University, Guangzhou, China. doctorwylh@163.com.",
40082535,DFT investigation of iron-doped boron nitride nanoparticles for anastrozole drug delivery and molecular interaction.,2025-03-13,Adil Farooq Wali; Sirajunisa Talath; Sathvik B Sridhar,rak co,
40082519,Daidzein alleviates skin fibrosis by suppressing TGF-β1 signaling pathway via targeting PKM2.,2025-03-13,Hongliang Wu; Xiaohe Li,"State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy, College of Life Sciences, Nankai University, Tianjin, 300353, China. lixiaohe908@163.com.; chinese academy of medical sciences and peking union medical co",
40082450,Programmable mRNA therapeutics for controlled epigenomic modulation of single and multiplexed gene expression in diverse diseases.,2025-03-13,Charles W O'Donnell; Jeremiah D Farelli; Houda Belaghzal; Justin Chen; Lauren Beech; James Sullivan; Chevaun Morrison-Smith; Stephen Siecinski; Adam Katz; Samuel Mildrum; Mayur Gurnani; Prachi Dhanania; Caitlyn R Webb; Giuliana Castello Coatti; Pranjali Rumale; Daniel F G Costa; Marcus I Gibson; Yaoyu E Wang; Joseph V Newman; Thomas G McCauley,"Omega Therapeutics, Inc., Cambridge, MA, USA.; Omega Therapeutics, Inc., Cambridge, MA, USA. odonnell@omegatx.com.",
40082438,Plasma exchange and radiation resensitize immunotherapy-refractory melanoma: a phase I trial.,2025-03-13,Jacob J Orme; Henan Zhang; Prashanth Lingamaneni; Yohan Kim; Roxane Lavoie; Maddy Dorr; Paul Dizona; Jacob Hirdler; Elizabeth A Bering; Joanina K Gicobi; Michelle Hsu; Heather Dale; Daniel S Childs; Lisa A Kottschade; Robert R McWilliams; Matthew S Block; Aaron S Mansfield; Svetomir N Markovic; Ken Olivier; Dawn Owen; Scott Lester; Daniel Ma; Haidong Dong; Fabrice Lucien; Annie T Packard; Jeffrey L Winters; Sean S Park,roche,
40082426,Identification of a non-inhibitory aptameric ligand to CRL2,2025-03-13,Zhihao Yang; Xue Yao; Xifeng Dong; Chenghao Xuan; Cheng Dong; Songbo Xie,the province and ministry co-sponsored co; tianjin key laboratory of bone marrow failure and malignant hemopoietic clone co; tianjin key laboratory of spine and spinal co,
40082418,"PD-1 antibody camrelizumab plus apatinib and SOX as first-line treatment in patients with AFP-producing gastric or gastro-esophageal junction adenocarcinoma (CAP 06): a multi-center, single-arm, phase 2 trial.",2025-03-14,Zhiguo Hou; Hongyi Kou,jiangsu hengrui pharmaceuticals co.,
40082415,Daratumumab-based quadruplet versus triplet induction regimens in transplant-eligible newly diagnosed multiple myeloma: a systematic review and meta-analysis.,2025-03-13,João Tadeu Damian Souto Filho,"Faculdade de Medicina de Campos, Campos dos Goytacazes, Rio de Janeiro, Brazil. drjoaotadeu@yahoo.com.br.",
40082410,Breaking down KRAS: small-molecule degraders for cancer therapy.,2025-03-14,Tina Kos; Dieter Saur,and german cancer co,
40082405,Enhancer transcription profiling reveals an enhancer RNA-driven ferroptosis and new therapeutic opportunities in prostate cancer.,2025-03-14,Sheng Ma; Zixian Wang; Zezhong Xiong; Yue Ge; Meng-Yao Xu; Junbiao Zhang; Yuzheng Peng; Jiaxue Sun; Zirui Xi; Hao Peng; Wenjie Xu; Yanan Wang; Le Li; Chunyu Zhang; Zheng Chao; Xu Zhang; Gong-Hong Wei; Zhihua Wang,"tongji medical co; shanghai medical co; Department of Urology, Chinese PLA General Hospital, Beijing, China. xzhang301@163.com.; state key laboratory of co",
40082390,Artificial intelligence-driven integration of single-cell RNA sequencing and transcriptome analysis to decipher APOE's role in gastric cancer prognosis and therapy.,2025-03-13,Zhi Zhao,"Department of Gastrointestinal and Hernia Surgery, People's Hospital of Guilin, Guilin, 541002, Guangxi, China. xykz521@163.com.",
40082306,Functional Analysis of Mature Activin A Produced by Enterokinase in Plant Cells.,2025-03-14,Tae-Ho Kwon,genecell biotech inc.,
40082280,A novel strategy for sorafenib-resistant hepatocellular carcinoma: autotaxin Inhibition by PF-8380.,2025-03-13,Bong Jun Kwak; Ok-Hee Kim,university of ulsan co; surginex co.,
40082190,Pyrotinib combined with trastuzumab and chemotherapy in the treatment of HER2-positive metastatic breast cancer after the progression of trastuzumab therapy.,2025-03-12,Xiangping Mei; Yue Hu; Hongge Wu; Linka Xie; Jie Xiong; Jing Yao,tongji medical co,
40081958,"First-in-Human Phase 0 Study of AB001, a Prostate-Specific Membrane Antigen-Targeted ",2025-03-13,Monika Kvassheim; Simen R Grønningsæter; Lily Bouzelmat; Vicki L Jardine; Caroline Stokke,department of physics and co; artbio limited,
40081954,Impact of Radioactive Iodine Treatment on Long-Term Relative Survival in Patients with Papillary and Follicular Thyroid Cancer: A SEER-Based Study Covering Histologic Subtypes and Recurrence Risk Categories.,2025-03-13,Henning Weis; Jasmin Weindler; Katharina Schmidt; Martin Hellmich; Alexander Drzezga; Matthias Schmidt,institute of medical statistics and co; university hospital of co,
40081949,Tumor Dose-Response Relationship of [,2025-03-13,Alexandros Moraitis; Andre Prochnow; Thorsten Dirk Poeppel; Jochen Schmitz; Christina Laschinsky; Ken Herrmann; Andreas Bockisch; Pedro Fragoso Costa; David Kersting; Walter Jentzen,german cancer co,
40081945,"Phase 2 study of neoadjuvant durvalumab plus docetaxel, oxaliplatin, and S-1 with surgery and adjuvant durvalumab plus S-1 for resectable locally advanced gastric cancer.",2025-03-13,Yoon-Koo Kang; Hyung-Don Kim; Hyungwoo Cho; Young Soo Park; Jong Seok Lee; Min-Hee Ryu,university of ulsan co,
40081942,Leveraging T cell co-stimulation for enhanced therapeutic efficacy of trispecific antibodies targeting prostate cancer.,2025-03-13,Yanping Sun; Linling Zhou; Xinyu Gu; Jiaqi Zhao; Jie Bi; Liqiang Pan,school of medicine and co,
40081941,Myeloid targeting antibodies PY159 and PY314 for platinum-resistant ovarian cancer.,2025-03-13,Marc Chamberlain,"Pionyr Immunotherapeutics, South San Francisco, California, USA.",
40081940,Novel anti-CD73-IL-2v bispecific fusion protein augments antitumor immunity by alleviating immunosuppressive adenosine pathways in CD8,2025-03-13,Kayoung Shin; Min Park; Seoho Kim; Haejong Lee; Yuseong Lee; Jongil Kim; Suyoun Park; Jisoo Kim; Kyungwha Lee; Chong Woo Park; Ji-Hyun Kim; Eun-Jin Lee; Hyuckjun Mok; Sung-Man Oh; Sanghee Lee; Young Min Oh; Wonjae Lee; Yaein Amy Shim; Young-Gyu Cho; Junsik Park; Jung-Yun Lee; Young Jun Koh; Kook Hwan Kim; Myoung Ho Jang,yonsei university co; gi innovation inc,
40081794,Exploring Serotonergic Psychedelics as a Treatment for Personality Disorders.,2025-03-11,Jacob D King; Robin L Carhart-Harris; Richard J Zeifman,imperial co,
40081785,Randomized Trial Assessing Prospective Surveillance and Exercise for Preventing Breast Cancer-Related Lymphedema in High-Risk Patients.,2025-03-11,Karol Ramírez-Parada; Cesar Sánchez; Denise Montt-Blanchard; Gina Merino,n y el co; n y co,
40081508,Alternative Therapies in Chronic Non-Cancer Pain Management: A Scoping Review of Randomized Controlled Trials.,2025-03-11,Bangqi Wu,"First Teaching Hospital of Tianjin University of Traditional Chinese Medicine/National Clinical Research Center for Chinese Medicine Acupuncture and Moxibustion, Tianjin, 300381, China. Electronic address: wbqwbq1980@outlook.com.",
40081500,Effect of glioblastoma and brain radiotherapy on T-lymphocyte subpopulations in rodents.,2025-03-11,Thao-Nguyen Pham; Juliette Thariat,laboratoire de physique corp,
40081492,"Measuring the impact of COVID-19 on time to treatment for individuals diagnosed with cancer in Manitoba, Canada using an interrupted time series analysis.",2025-03-11,Piotr Czaykowski; Pamela Hebbard; Julian O Kim; Marshall Pitz; Harminder Singh; Kathleen M Decker,max rady co; department of co,
40081427,Anti-breast cancer effect of Phellinus pini and its chemical composition characterization.,2025-03-11,Xiaojin Liu; Guoying Zhang,"School of Pharmacy, Shandong University of Traditional Chinese Medicine, Jinan 250355, China. Electronic address: zhangguoying2000@126.com.; shandong medical co",
40081396,Perceptions About Dyadic Physical Activity Intervention for Rural-Dwelling People With Cognitive Impairment.,2025-03-13,Shinobu Watanabe-Galloway; Catherine A Riffin,weill co; buffett cancer center co,
40081224,Overcoming immunotherapy resistance in colorectal cancer through nano-selenium probiotic complexes and IL-32 modulation.,2025-03-01,Shiquan Li; Tao Liu; Chenyao Li; Zhiyuan Zhang; Jiantao Zhang; Di Sun,department of co,
